first_disease,second_disease,r.score
"""DYRK1A-related intellectual disability syndrome""","""3q27.3 microdeletion syndrome""",0.9951100244498777
"""3q27.3 microdeletion syndrome""","""DYRK1A-related intellectual disability syndrome""",0.9951100244498777
"""1p36 deletion syndrome""","""8p23.1 microdeletion syndrome""",0.9949109414758269
"""8p23.1 microdeletion syndrome""","""1p36 deletion syndrome""",0.9949109414758269
"""Familial colorectal cancer Type X""","""Lynch syndrome""",0.9943181818181818
"""Lyme disease""","""Lynch syndrome""",0.9943181818181818
"""Menkes disease""","""Lynch syndrome""",0.9943181818181818
"""Scrub typhus""","""Lynch syndrome""",0.9943181818181818
"""X-linked alpha-thalassemia-intellectual disability syndrome""","""Lynch syndrome""",0.9943181818181818
"""Craniopharyngioma""","""Lynch syndrome""",0.9943181818181818
